"EdgeBetweenness","interaction","name","peso","repeticiones","repeticiones_idx","selected","shared interaction","shared name"
"97.33333333333334","-","cambio climático (-) erosión","1.0","1","102","false","-","cambio climático (-) erosión"
"153.69841269841274","-","cambio climático (-) pastos","-1.0","1","101","false","-","cambio climático (-) pastos"
"309.152380952381","-","cambio climático (-) lluvia","-1.0","3","32","false","-","cambio climático (-) lluvia"
"1151.759523809524","-","cambio climático (-) huracanes","1.0","2","50","false","-","cambio climático (-) huracanes"
"758.7857142857142","-","fertilidad del suelo (-) pastos","1.0","2","64","false","-","fertilidad del suelo (-) pastos"
"1005.1047619047617","-","pastos (-) alimento para ganado","1.0","5","18","false","-","pastos (-) alimento para ganado"
"1543.759523809525","-","pastos (-) ganado","1.0","16","2","false","-","pastos (-) ganado"
"491.1999999999998","-","desmonte (-) sequía","1.0","1","93","false","-","desmonte (-) sequía"
"58.035714285714306","-","desmonte (-) alimento para ganado","1.0","1","92","false","-","desmonte (-) alimento para ganado"
"805.3166666666667","-","desmonte (-) selva","-0.75","8","10","false","-","desmonte (-) selva"
"49.100000000000016","-","desmonte (-) conservación del suelo","-1.0","1","91","false","-","desmonte (-) conservación del suelo"
"376.6999999999999","-","desmonte (-) conservación de la biodiversidad","-1.0","1","90","false","-","desmonte (-) conservación de la biodiversidad"
"244.83333333333331","-","desmonte (-) lluvia","-1.0","2","47","false","-","desmonte (-) lluvia"
"74.5","-","desmonte (-) ganado","0.3333333333333333","3","29","false","-","desmonte (-) ganado"
"283.7333333333333","-","desmonte (-) fertilidad del suelo","-1.0","1","89","false","-","desmonte (-) fertilidad del suelo"
"695.0","-","desmonte (-) suelo desmontado","1.0","2","46","false","-","desmonte (-) suelo desmontado"
"44.97222222222222","-","desmonte (-) pastos","1.0","8","9","false","-","desmonte (-) pastos"
"448.8333333333333","-","desmonte (-) erosión","1.0","2","45","false","-","desmonte (-) erosión"
"75.66666666666663","-","desmonte (-) fauna","-1.0","2","44","false","-","desmonte (-) fauna"
"688.0","-","agua (-) siembra","1.0","1","109","false","-","agua (-) siembra"
"80.02777777777779","-","agua (-) pastos","1.0","4","25","false","-","agua (-) pastos"
"438.0357142857142","-","agua (-) alimento para ganado","1.0","1","108","false","-","agua (-) alimento para ganado"
"396.9999999999999","-","agua (-) bebederos y represas","1.0","1","107","false","-","agua (-) bebederos y represas"
"713.642857142857","-","agua (-) ganado","1.0","9","7","false","-","agua (-) ganado"
"905.9833333333327","-","diversidad de plantas (-) cuidado veterinario","1.0","1","88","false","-","diversidad de plantas (-) cuidado veterinario"
"481.4214285714284","-","diversidad de plantas (-) alimento para ganado","1.0","2","43","false","-","diversidad de plantas (-) alimento para ganado"
"320.3166666666668","-","fauna (-) plagas","-1.0","1","80","false","-","fauna (-) plagas"
"470.1166666666667","-","fauna (-) enfermedades del ganado","1.0","2","40","false","-","fauna (-) enfermedades del ganado"
"507.4666666666668","-","fauna (-) ganado","-0.7777777777777778","9","6","false","-","fauna (-) ganado"
"458.36666666666656","-","conservación del suelo (-) lluvia","1.0","1","76","false","-","conservación del suelo (-) lluvia"
"901.4499999999994","-","conservación del suelo (-) cambio climático","-1.0","1","75","false","-","conservación del suelo (-) cambio climático"
"365.26666666666677","-","conservación del suelo (-) fertilidad del suelo","1.0","1","74","false","-","conservación del suelo (-) fertilidad del suelo"
"108.42777777777776","-","conservación del suelo (-) pastos","1.0","1","73","false","-","conservación del suelo (-) pastos"
"3369.857936507937","-","ganado (-) desmonte","1.0","1","72","false","-","ganado (-) desmonte"
"961.6746031746034","-","ganado (-) agua","1.0","1","71","false","-","ganado (-) agua"
"1013.6547619047622","-","ganado (-) diversidad de plantas","-1.0","1","70","false","-","ganado (-) diversidad de plantas"
"1033.4261904761906","-","ganado (-) fauna","-1.0","1","69","false","-","ganado (-) fauna"
"1651.9984126984127","-","ganado (-) conservación del suelo","1.0","1","68","false","-","ganado (-) conservación del suelo"
